user_id,engagement_score,experience_score,satisfaction_score,satisfaction_cluster
33664962239.0,0.0166981,0.0387346,0.0277163,0
33681854413.0,0.0171794,0.253666,0.135422,0
33730417718.5,0.0176992,0.0631408,0.04042,0
33730417718.5,0.0162937,0.0631408,0.0397173,0
33699795932.0,0.0176992,0.0631408,0.04042,0
33668185951.0,0.0156006,0.0631408,0.0393707,0
33665368271.0,0.0168328,0.613799,0.315316,0
33730417718.5,0.0612188,0.592149,0.326684,0
33698743617.0,0.016159,0.0631408,0.0396499,0
33659219748.0,0.104846,0.575802,0.340324,0
33665646348.0,0.0176992,0.0631408,0.04042,0
33664473872.0,0.579519,0.618307,0.598913,1
33604163418.5,0.0157739,0.0631408,0.0394574,0
33659219748.0,0.0179495,0.0631408,0.0405452,0
33659219748.0,0.114424,0.389169,0.251797,0
33730417718.5,0.000987624,0.809539,0.405264,0
33669013307.0,0.0155621,0.230814,0.123188,0
33668779552.0,0.0171794,0.0408334,0.0290064,0
33698759051.0,0.01639,0.176253,0.0963214,0
33730417718.5,0.0176992,0.0631408,0.04042,0
33658752999.0,0.602545,1.01852,0.810532,1
33659219748.0,0.104711,0.243137,0.173924,0
33621235801.0,0.0160435,0.222681,0.119362,0
33681827486.0,0.01768,0.0631408,0.0404104,0
33611536843.0,0.0156391,0.0631408,0.03939,0
33730417718.5,0.0168906,0.233308,0.125099,0
33662839194.0,0.016467,0.0924815,0.0544743,0
33664343412.0,0.0176992,0.0631408,0.04042,0
33669162989.0,0.0173527,0.152448,0.0849004,0
33698257107.0,0.324369,0.828065,0.576217,1
33658752999.0,0.535853,0.984316,0.760084,1
33604163418.5,0.0160435,0.0631408,0.0395921,0
33699476051.0,0.016159,0.284349,0.150254,0
33658856271.0,0.016005,0.0631408,0.0395729,0
33730417718.5,0.0168328,0.16268,0.0897566,0
33663365295.0,0.0176992,0.0631408,0.04042,0
33662567561.0,0.0171986,0.121521,0.0693598,0
33660658990.0,0.0176992,0.0631408,0.04042,0
33730417718.5,0.0143877,0.402358,0.208373,0
33669734266.0,0.0173334,0.726939,0.372136,0
33680056205.0,0.0161012,0.0631408,0.039621,0
33730417718.5,0.01639,0.150154,0.0832722,0
33666145510.0,0.0176992,0.0631408,0.04042,0
33730417718.5,0.490599,0.813156,0.651878,1
33650790507.0,0.0176992,0.0631408,0.04042,0
33669127720.0,0.0175837,0.147219,0.0824015,0
33665230397.0,0.66118,0.949474,0.805327,1
33666470093.0,0.0147535,0.147408,0.0810809,0
33650140705.0,0.0161012,0.0924815,0.0542914,0
33730417718.5,0.0176992,0.0631408,0.04042,0
33730417718.5,0.531569,0.60154,0.566555,1
33662755009.0,0.0151001,0.157339,0.0862194,0
33684296989.0,0.0150423,0.0569732,0.0360077,0
33608589700.0,0.0160435,0.0631408,0.0395921,0
33658073603.0,0.0158317,0.219319,0.117575,0
33661068875.0,0.0167173,0.0631408,0.0399291,0
33610912213.0,0.0165825,0.0631408,0.0398617,0
33678686567.0,0.015023,0.156998,0.0860105,0
33669127720.0,0.00417218,0.810017,0.407095,0
33667670953.0,0.0171794,0.16268,0.0899299,0
33730417718.5,0.0176992,0.0631408,0.04042,0
33668365932.0,0.948483,0.622083,0.785283,1
33730417718.5,0.270653,0.313933,0.292293,0
33699429799.0,0.0566366,0.545229,0.300933,0
33659514004.0,0.0169291,0.0631408,0.040035,0
33663640699.0,0.0160627,0.107543,0.0618028,0
33660096632.0,0.0153696,0.0631408,0.0392552,0
33650787885.0,0.0169291,0.0631408,0.040035,0
33662737192.0,0.2563,0.626692,0.441496,1
33604163418.5,0.0151001,0.0631408,0.0391204,0
33682429026.0,0.0153696,0.171949,0.0936592,0
33730417718.5,0.0141759,0.205074,0.109625,0
33669127720.0,0.00157302,0.810017,0.405795,0
33684514718.0,0.0165055,0.155322,0.0859137,0
33730417718.5,0.0176992,0.0631408,0.04042,0
33616435409.0,0.0165055,0.187025,0.101765,0
33698155378.0,0.0176992,0.0631408,0.04042,0
33607846541.0,0.016236,0.224584,0.12041,0
33669165983.0,0.982012,0.954609,0.96831,1
33730417718.5,0.0160435,0.256503,0.136273,0
33661315626.0,0.0167751,0.0437051,0.0302401,0
33667454734.0,0.0156006,0.14322,0.0794101,0
33661347435.0,0.725312,1.01852,0.871916,1
33664996866.0,0.670595,0.354218,0.512407,1
33665550434.0,0.543034,0.560368,0.551701,1
33675877202.0,0.469093,0.360556,0.414825,1
33663676737.0,0.982012,0.810548,0.89628,1
33643717566.0,0.0149268,0.222681,0.118804,0
33699429799.0,0.0174682,0.819193,0.418331,0
33663581490.0,0.0154274,0.0631408,0.0392841,0
33730417718.5,0.016544,0.0631408,0.0398424,0
33650140705.0,0.0158702,0.034112,0.0249911,0
33685416886.0,0.0166596,0.0631408,0.0399002,0
33661315626.0,0.0162167,0.132065,0.0741408,0
33624438887.0,0.0156199,0.0631408,0.0393804,0
33615131469.0,0.0165633,0.0631408,0.0398521,0
33664947886.0,0.0166788,0.103515,0.0600969,0
33664031042.0,0.0161397,0.147408,0.081774,0
33668752351.0,0.016544,0.0631408,0.0398424,0
33730417718.5,0.0162937,0.214649,0.115471,0
33628965485.0,0.0160435,0.0631408,0.0395921,0
33658667823.0,0.710593,0.67751,0.694052,1
33676725364.0,0.0157162,0.0631408,0.0394285,0
33660966816.0,0.0165633,0.0569732,0.0367682,0
33730417718.5,0.0161012,0.0631408,0.039621,0
33664996866.0,0.0169098,0.0631408,0.0400253,0
33665924230.0,0.0161397,0.35993,0.188035,0
33660299814.0,0.01639,0.0631408,0.0397654,0
33668071592.0,0.016082,0.0501624,0.0331222,0
33658962567.0,0.0157354,0.048595,0.0321652,0
33730417718.5,0.0159472,0.230814,0.12338,0
33652868586.0,0.0164478,0.350184,0.183316,0
33730417718.5,0.016082,0.150202,0.0831419,0
33616435409.0,0.0157932,0.150501,0.083147,0
33699752803.0,0.0154081,0.0631408,0.0392745,0
33699039779.0,0.0157354,0.0631408,0.0394381,0
33617501726.0,0.0155044,0.148467,0.0819859,0
33688966882.0,0.0151193,0.188487,0.101803,0
33730417718.5,0.0158894,0.188487,0.102188,0
33699058627.0,0.0157739,0.164812,0.0902928,0
33678913327.0,0.0162552,0.0631408,0.039698,0
33730417718.5,0.0159664,0.0864754,0.0512209,0
33668411854.0,0.0161205,0.0631408,0.0396306,0
33659042114.0,0.0159857,0.166618,0.0913018,0
33669127720.0,0.939954,0.810411,0.875182,1
33667005711.0,0.0159087,0.0631408,0.0395248,0
33689510847.0,0.0157162,0.0631408,0.0394285,0
33650331265.0,0.508543,0.0924815,0.300512,0
33730417718.5,0.0161975,0.132836,0.0745168,0
33652868586.0,0.0169483,0.273075,0.145012,0
33671512366.0,0.0162167,0.188802,0.10251,0
33669165983.0,0.982012,0.448164,0.715088,1
33610912213.0,0.0323778,0.029159,0.0307684,0
33665660806.0,0.0156969,0.223577,0.119637,0
33636636232.0,0.0162745,0.234273,0.125274,0
33604163418.5,0.0166981,0.272248,0.144473,0
33730417718.5,0.0160242,0.0631408,0.0395825,0
33666065675.0,0.0161397,0.111129,0.0636343,0
33659439927.0,0.0162552,0.0569732,0.0366142,0
33664846392.0,0.95888,0.809809,0.884344,1
33730417718.5,0.0156391,0.0631408,0.03939,0
33632452443.0,0.0152733,0.182837,0.0990551,0
33669058269.0,0.0176992,0.0631408,0.04042,0
33665440152.0,0.0166981,0.0631408,0.0399194,0
33658045202.0,0.0150423,0.195074,0.105058,0
33666871809.0,0.0163323,0.0723845,0.0443584,0
33663395710.0,0.907715,1.01852,0.963117,1
33650587397.0,0.0158509,0.28599,0.150921,0
33650331265.0,0.017988,0.0631408,0.0405644,0
33604163418.5,0.016159,0.0906577,0.0534083,0
33636704855.0,0.0158124,0.188802,0.102307,0
33650392011.0,0.203056,1.01852,0.610788,1
33699527358.0,0.0157547,0.214902,0.115328,0
33730417718.5,0.0059934,0.618672,0.312333,0
33661347435.0,0.962788,0.918265,0.940527,1
33665550434.0,0.00345982,1.01852,0.51099,1
33664880153.0,0.201275,0.86369,0.532482,1
33663537175.0,0.982012,0.721094,0.851553,1
33665354456.0,0.554846,0.794181,0.674514,1
33730417718.5,0.504827,0.40485,0.454838,1
33659715551.0,0.85397,0.451733,0.652852,1
33730417718.5,0.941552,0.638186,0.789869,1
33730417718.5,0.592139,0.690585,0.641362,1
33667979148.0,0.925139,0.86369,0.894414,1
33658159696.0,0.374927,0.918265,0.646596,1
33650059450.0,0.378787,1.01852,0.698653,1
33663873797.0,0.597145,0.822407,0.709776,1
33662216472.0,0.426313,0.850876,0.638595,1
33661261599.0,0.789983,0.560368,0.675175,1
33665771979.0,0.982012,0.89389,0.937951,1
33730417718.5,0.124407,0.313933,0.21917,0
33699429799.0,0.0170254,0.814134,0.415579,0
33699980668.0,0.695287,0.867139,0.781213,1
33666777857.0,0.456925,1.01852,0.737722,1
33658087820.0,0.950967,0.475975,0.713471,1
33650061464.0,0.0163708,0.273691,0.145031,0
33730417718.5,0.363828,0.569083,0.466455,1
33730417718.5,0.0156391,0.102585,0.0591122,0
33623472645.0,0.0157739,0.121473,0.0686236,0
33730417718.5,0.0166018,0.189674,0.103138,0
33661872520.0,0.00739887,0.161793,0.0845962,0
33665122920.0,0.0160435,0.0631408,0.0395921,0
33665099965.0,0.0158509,0.0631408,0.0394959,0
33627850141.0,0.0162745,1.01852,0.517397,1
33730417718.5,0.0158317,0.247647,0.131739,0
33622436945.0,0.0158702,0.0631408,0.0395055,0
33679486729.0,0.016159,0.191319,0.103739,0
33646181976.0,0.77768,0.245902,0.511791,1
33646181976.0,0.0176992,0.0631408,0.04042,0
33668495500.0,0.0162552,0.155554,0.0859045,0
33636636232.0,0.0157932,0.451363,0.233578,0
33667034360.0,0.0165248,0.21486,0.115692,0
33660594196.0,0.982012,0.815568,0.89879,1
33667549512.0,0.0157932,0.103515,0.0596541,0
33668451771.0,0.0161012,0.186936,0.101519,0
33730417718.5,0.0159087,0.219773,0.117841,0
33662105508.0,0.0175837,0.118741,0.0681622,0
33667238502.0,0.0157547,0.11419,0.0649725,0
33663392517.0,0.0161012,0.188802,0.102452,0
33607915807.0,0.0161975,0.0631408,0.0396692,0
33619748356.0,0.0158702,0.150154,0.0830123,0
33658814249.0,0.0166981,0.0631408,0.0399194,0
33730417718.5,0.016467,0.230814,0.12364,0
33617234668.0,0.0158317,0.0864754,0.0511535,0
33660895816.0,0.0162937,0.107184,0.0617391,0
33666584978.0,0.0155621,0.0631408,0.0393515,0
33667601476.0,0.0167751,0.078389,0.047582,0
33730417718.5,0.0167751,0.0437051,0.0302401,0
33668624215.0,0.0157547,0.0631408,0.0394477,0
33658598719.0,0.016082,0.0631408,0.0396114,0
33650385957.0,0.0157547,0.0544757,0.0351152,0
33645205455.0,0.0158509,0.0408334,0.0283422,0
33659815231.0,0.0159279,0.0631408,0.0395344,0
33663048734.0,0.0161782,0.0631408,0.0396595,0
33668864464.0,0.0158702,0.0924815,0.0541758,0
33658667823.0,0.775206,0.681298,0.728252,1
33730417718.5,0.016236,0.181155,0.0986953,0
33604163418.5,0.0165633,0.0631408,0.0398521,0
33620803644.0,0.0157932,0.2301,0.122947,0
33662294516.0,0.0160242,0.0631408,0.0395825,0
33730417718.5,0.0166403,0.0631408,0.0398906,0
33610855852.0,0.0162745,0.154423,0.0853489,0
33613692403.0,0.0164863,0.0631408,0.0398135,0
33699127138.0,0.016159,0.0594594,0.0378092,0
33650119850.0,0.0158894,0.0631408,0.0395151,0
33628911334.0,0.0156584,0.0631408,0.0393996,0
33665123177.0,0.0161975,0.150128,0.0831629,0
33730417718.5,0.0161205,0.0631408,0.0396306,0
33730417718.5,0.0156969,0.0594594,0.0375782,0
33660428890.0,0.0166403,0.280717,0.148679,0
33730417718.5,0.0159087,0.0631408,0.0395248,0
33661890687.0,0.0157739,0.0631408,0.0394574,0
33635384291.0,0.0154659,0.202616,0.109041,0
33685176857.0,0.0167751,0.048595,0.032685,0
33698602246.0,0.0164285,0.145857,0.0811427,0
33666440373.0,0.0158317,0.172543,0.0941873,0
33677339589.0,0.016236,0.0501624,0.0331992,0
33615132493.0,0.0158702,0.0631408,0.0395055,0
33604163418.5,0.0161012,0.341102,0.178601,0
33730417718.5,0.0160435,0.0924815,0.0542625,0
33672883871.0,0.0158702,0.0631408,0.0395055,0
33668255292.0,0.0161012,0.0812006,0.0486509,0
33613485204.0,0.0163515,0.048595,0.0324732,0
33615164250.0,0.0176992,0.0631408,0.04042,0
33660131039.0,0.0165633,0.0631408,0.0398521,0
33658482973.0,0.384428,0.681805,0.533117,1
33650331265.0,0.0811456,0.622083,0.351614,0
33637236202.0,0.0161205,0.187025,0.101573,0
33629050519.0,0.016236,0.222136,0.119186,0
33730417718.5,0.0158124,0.131052,0.0734324,0
33647561252.0,0.0159472,0.112028,0.0639878,0
33730417718.5,0.016159,0.350184,0.183172,0
33660111576.0,0.0159279,0.213553,0.11474,0
33663706799.0,0.198627,0.1584,0.178514,0
33623241712.0,0.0162937,0.239574,0.127934,0
33669165983.0,0.0162552,0.0631408,0.039698,0
33666224789.0,0.853643,0.760799,0.807221,1
33662761310.0,0.0166981,0.104059,0.0603784,0
33686641444.0,0.0158317,0.157339,0.0865852,0
33684578386.0,0.878864,0.414525,0.646694,1
33616118607.0,0.0162167,0.131052,0.0736346,0
33658949881.0,0.0158509,0.205226,0.110538,0
33621250040.0,0.0158702,0.0631408,0.0395055,0
33668102043.0,0.0157354,0.052864,0.0342997,0
33662187298.0,0.0155044,0.0631408,0.0393226,0
33682351702.0,0.0159857,0.0631408,0.0395633,0
33664322988.0,0.0161782,0.195074,0.105626,0
33661480781.0,0.0157354,0.034112,0.0249237,0
33620753641.0,0.0157354,0.181494,0.0986145,0
33646393453.0,0.0158702,0.150154,0.0830123,0
33663164596.0,0.0161205,0.157339,0.0867296,0
33730417718.5,0.016005,0.171949,0.0939769,0
33658840374.0,0.0162167,0.11962,0.0679183,0
33730417718.5,0.0157739,0.194293,0.105033,0
33689941656.0,0.0160242,0.182837,0.0994305,0
33658491763.0,0.0425049,1.01852,0.530512,1
33666302899.0,0.745354,0.473699,0.609527,1
33667097482.0,0.0161782,0.164812,0.0904949,0
33658646786.0,0.0166018,0.0569732,0.0367875,0
33730417718.5,0.0167751,0.0812168,0.048996,0
33617641374.0,0.0161782,0.0631408,0.0396595,0
33669379945.0,0.0163708,0.148692,0.0825312,0
33730417718.5,0.755963,0.3958,0.575881,1
33730417718.5,0.0176992,0.0631408,0.04042,0
33613144822.0,0.0167751,0.141263,0.0790189,0
33669127720.0,0.01299,0.592423,0.302707,0
33664535264.0,0.0167751,0.157339,0.0870569,0
33621525774.0,0.016313,0.294402,0.155357,0
33686030074.0,0.0159279,0.24315,0.129539,0
33681123273.0,0.0149653,0.155322,0.0851436,0
33699657228.0,0.0171216,0.0594594,0.0382905,0
33699657228.0,0.0163323,0.078389,0.0473606,0
33624040258.0,0.016159,0.0657326,0.0409458,0
33666115833.0,0.0160435,0.121521,0.0687823,0
33661283892.0,0.0165248,0.0631408,0.0398328,0
33730417718.5,0.0162745,0.206409,0.111342,0
33660533596.0,0.0167751,0.157689,0.0872319,0
33667089827.0,0.0158894,0.111129,0.0635091,0
33661892849.0,0.0158702,0.321654,0.168762,0
33681978245.0,0.0158317,0.331844,0.173838,0
33684509760.0,0.0167751,0.0269673,0.0218712,0
33730417718.5,0.0162745,0.156998,0.0866362,0
33604163418.5,0.0158702,0.19321,0.10454,0
33730417718.5,0.0166788,0.078389,0.0475339,0
33651344041.0,0.0162745,0.0798177,0.0480461,0
33667577039.0,0.0158124,0.132836,0.0743242,0
33730417718.5,0.0151001,0.180413,0.0977563,0
33730417718.5,0.016005,0.208421,0.112213,0
33651581456.0,0.0161012,0.0437051,0.0299031,0
33605919002.0,0.0163323,0.184682,0.100507,0
33658454452.0,0.159967,0.0185268,0.0892471,0
33659923151.0,0.016082,0.167094,0.0915881,0
33610341039.0,0.0164093,0.169942,0.0931758,0
33604653620.0,0.016467,0.0462472,0.0313571,0
33650293052.0,0.016005,0.182837,0.0994209,0
33730417718.5,0.982012,0.77374,0.877876,1
33662761310.0,0.0169098,0.340439,0.178675,0
33650889727.0,0.0161782,0.157339,0.0867585,0
33643894533.0,0.0161205,0.0631408,0.0396306,0
33660144841.0,0.0161975,0.188802,0.1025,0
33666253535.0,0.0161012,0.052864,0.0344826,0
33669165983.0,0.982012,0.375788,0.6789,1
33629818354.0,0.0158124,0.168097,0.0919546,0
33604163418.5,0.0161397,0.182837,0.0994883,0
33610912213.0,0.129923,0.0269673,0.0784452,0
33664333406.0,0.0155621,0.0631408,0.0393515,0
33607213252.0,0.0159087,0.0631408,0.0395248,0
33688402404.0,0.0164285,0.234273,0.125351,0
33675137835.0,0.0167558,0.131052,0.0739041,0
33659675942.0,0.982012,0.104059,0.543035,1
33659574416.0,0.0165055,0.0879493,0.0522274,0
33662861121.0,0.0160242,0.215448,0.115736,0
33730417718.5,0.0161397,0.271284,0.143712,0
33730417718.5,0.0166788,0.0631408,0.0399098,0
33651892763.0,0.0157354,0.0631408,0.0394381,0
33730417718.5,0.0179495,0.0631408,0.0405452,0
33664926570.0,0.383514,0.201655,0.292584,0
33620494145.0,0.0158124,0.0410787,0.0284456,0
33662761310.0,0.0171986,0.234273,0.125736,0
33651390475.0,0.0167751,0.336823,0.176799,0
33623301160.0,0.55965,0.811756,0.685703,1
33698229838.0,0.0164863,0.0387346,0.0276104,0
33730417718.5,0.0167751,0.251619,0.134197,0
33659265899.0,0.0160435,0.182837,0.0994402,0
33670976542.0,0.0179495,0.0631408,0.0405452,0
33650182401.0,0.0161205,0.147219,0.0816699,0
33730417718.5,0.016005,0.0631408,0.0395729,0
33650543641.0,0.0162745,0.215448,0.115861,0
33666722300.0,0.0176992,0.0631408,0.04042,0
33662788245.0,0.0163323,0.182837,0.0995845,0
33683457133.0,0.016621,0.635322,0.325972,0
33648713284.0,0.0160435,0.0631408,0.0395921,0
33730417718.5,0.0164863,0.0924815,0.0544839,0
33664720562.0,0.0158317,0.0631408,0.0394862,0
33668882532.0,0.0154851,0.148467,0.0819763,0
33730417718.5,0.016005,0.0631408,0.0395729,0
33663063484.0,0.0161205,0.150128,0.0831244,0
33730417718.5,0.0161975,0.213371,0.114784,0
33695793310.0,0.0158124,0.158744,0.0872783,0
33658933782.0,0.677709,0.701271,0.68949,1
33665397921.0,0.016313,0.182837,0.0995749,0
33688404819.0,0.0161782,0.111129,0.0636535,0
33664823451.0,0.0160627,0.150202,0.0831322,0
33625578106.0,0.0157354,0.704324,0.36003,0
33659630964.0,0.0165248,0.029159,0.0228419,0
33698854920.0,0.0154659,0.19471,0.105088,0
33667271399.0,0.0167751,0.106177,0.0614761,0
33631765940.0,0.0159279,0.147408,0.0816681,0
33662229479.0,0.0161975,0.383536,0.199867,0
33611987270.0,0.015023,0.0631408,0.0390819,0
33660135300.0,0.0157739,0.196713,0.106243,0
33621898182.0,0.0170639,0.0544757,0.0357698,0
33689191222.0,0.166186,0.169942,0.168064,0
33618025045.0,0.0161012,0.0904789,0.05329,0
33661935148.0,0.0162552,0.150128,0.0831918,0
33667444377.0,0.0162937,0.0501624,0.0332281,0
33623518940.0,0.0160627,0.176253,0.0961577,0
33650977655.0,0.501371,0.441135,0.471253,1
33669321201.0,0.0157162,0.0631408,0.0394285,0
33730417718.5,0.0163323,0.291933,0.154133,0
33662761310.0,0.0160627,0.618672,0.317367,0
33625573044.0,0.0166981,0.294402,0.15555,0
33730417718.5,0.01639,0.243967,0.130178,0
33666547232.0,0.127141,0.635322,0.381232,0
33667477744.0,0.0157739,0.188487,0.10213,0
33668799144.0,0.00364454,0.725937,0.364791,0
33661508740.0,0.0157932,0.0798177,0.0478054,0
33671429741.0,0.0162167,0.103515,0.0598659,0
33612475594.0,0.0151193,0.0924815,0.0538004,0
33730417718.5,0.016236,0.187025,0.10163,0
33658340311.0,0.0160435,0.048595,0.0323192,0
33730417718.5,0.016236,0.0757128,0.0459744,0
33666547232.0,0.324118,0.618672,0.471395,1
33668896930.0,0.0156006,0.107184,0.0613925,0
33650784540.0,0.0168906,0.26627,0.14158,0
33662991095.0,0.01639,0.141608,0.0789989,0
33664622012.0,0.016313,0.0631408,0.0397269,0
33669176513.0,0.016005,0.12878,0.0723925,0
33730417718.5,0.0164285,0.147408,0.0819184,0
33648669470.0,0.0161397,0.288024,0.152082,0
33652877567.0,0.0158317,0.0569732,0.0364024,0
33659350323.0,0.0157932,0.0437051,0.0297491,0
33619660787.0,0.0176992,0.0631408,0.04042,0
33699931744.0,0.958071,0.340023,0.649047,1
33663807206.0,0.0161012,0.341102,0.178601,0
33658478895.0,0.013194,0.150154,0.0816742,0
33730417718.5,0.0160242,0.0720853,0.0440547,0
33730417718.5,0.0160627,0.239574,0.127818,0
33663094850.0,0.0162937,0.14322,0.0797567,0
33633116841.0,0.0156969,0.0266887,0.0211928,0
33668436711.0,0.016159,0.237688,0.126923,0
33658765071.0,0.0157547,0.154423,0.085089,0
33699131975.0,0.014869,0.140615,0.0777418,0
33646831567.0,0.016159,0.0323887,0.0242738,0
33631737095.0,0.0162552,0.0594594,0.0378573,0
33730417718.5,0.0158317,0.152448,0.0841399,0
33620316321.0,0.0158702,0.0631408,0.0395055,0
33730417718.5,0.0149268,0.635322,0.325124,0
33663912481.0,0.0159087,0.034112,0.0250103,0
33730417718.5,0.0162937,0.0631408,0.0397173,0
33614147723.0,0.0154851,0.0631408,0.039313,0
33665129539.0,0.0160242,0.124796,0.0704102,0
33730417718.5,0.595431,0.205074,0.400252,1
33624673482.0,0.0158702,0.19321,0.10454,0
33610029200.0,0.0164285,0.0569732,0.0367008,0
33650161359.0,0.0162745,0.157689,0.0869816,0
33663395710.0,0.373252,1.01852,0.695886,1
33659220747.0,0.0167751,0.111129,0.0639519,0
33662742104.0,0.0161397,0.029159,0.0226494,0
33663462805.0,0.0161782,0.157339,0.0867585,0
33661020729.0,0.850206,0.518258,0.684232,1
33668969484.0,0.016236,0.236153,0.126195,0
33660692736.0,0.195605,0.889797,0.542701,1
33730417718.5,0.016005,0.0631408,0.0395729,0
33604163418.5,0.0167751,0.0631408,0.0399579,0
33664111361.0,0.275504,0.620994,0.448249,1
33685601675.0,0.0165825,0.0657326,0.0411576,0
33659074100.0,0.982012,0.826479,0.904245,1
33730417718.5,0.0161012,0.0631408,0.039621,0
33646818008.0,0.016544,0.257309,0.136926,0
33632766877.0,0.0172371,0.438426,0.227831,0
33624486010.0,0.016159,0.0631408,0.0396499,0
33631248943.0,0.0171409,0.0998351,0.058488,0
33730417718.5,0.0161205,0.103515,0.0598178,0
33664104941.0,0.0157932,0.195074,0.105433,0
33658949881.0,0.0171409,0.0879493,0.0525451,0
33659111427.0,0.0162552,0.0166101,0.0164327,0
33658949881.0,0.0170639,0.169942,0.0935031,0
33665178801.0,0.977824,0.636911,0.807368,1
33730417718.5,0.0165633,0.169942,0.0932528,0
33665137305.0,0.016005,0.188724,0.102364,0
33661648395.0,0.982012,0.902337,0.942175,1
33730417718.5,0.016236,0.172543,0.0943895,0
33683533092.0,0.0158317,0.171949,0.0938902,0
33681328893.0,0.0161205,0.177724,0.0969223,0
33658350260.0,0.016005,0.0631408,0.0395729,0
33610995337.0,0.0176992,0.0631408,0.04042,0
33638916907.0,0.0160242,0.0657326,0.0408784,0
33667286157.0,0.016159,0.182837,0.0994979,0
33730417718.5,0.0161205,0.165756,0.0909384,0
33612204223.0,0.723752,0.810017,0.766885,1
33651656684.0,0.0164285,0.182837,0.0996327,0
33663330125.0,0.0160242,0.0631408,0.0395825,0
33663706799.0,0.862576,0.618672,0.740624,1
33699073077.0,0.0103638,0.681805,0.346084,0
33698459602.0,0.0167751,0.0720853,0.0444302,0
33637833279.0,0.862143,0.395141,0.628642,1
33632411364.0,0.07562,0.618672,0.347146,0
33658562864.0,0.22356,0.95087,0.587215,1
33660917355.0,0.386151,1.01852,0.702335,1
33682385150.0,0.0147036,0.637804,0.326254,0
33661045987.0,0.147434,0.618672,0.383053,0
33667346490.0,0.0120466,0.626692,0.319369,0
33730417718.5,0.982012,0.949474,0.965743,1
33622687379.0,0.0162552,0.132836,0.0745456,0
33661586012.0,0.00653248,0.809539,0.408036,0
33664412882.0,0.0412534,0.649898,0.345576,0
33613392076.0,0.0161668,0.56467,0.290418,0
33663706799.0,0.288683,0.701266,0.494975,1
33730417718.5,0.0155236,0.157339,0.0864312,0
33730417718.5,0.95732,0.102585,0.529953,1
33621974721.0,0.137056,0.622083,0.37957,0
33669635705.0,0.016005,0.215448,0.115727,0
33660401278.0,0.00526179,0.620994,0.313128,0
33664342446.0,0.0102483,0.635322,0.322785,0
33650574745.0,0.263953,0.618672,0.441312,1
33651784503.0,0.0161397,0.28599,0.151065,0
33658474071.0,0.00915089,0.618672,0.313911,0
33650896825.0,0.0161012,0.180413,0.0982569,0
33730417718.5,0.961286,1.01557,0.988426,1
33659604789.0,0.537749,0.635322,0.586536,1
33730417718.5,0.0166403,0.182837,0.0997386,0
